Synset('arminian.n.01')	Arminian
Synset('armpit.n.01')	armpit
Synset('armrest.n.01')	armrest
Synset('army_ant.n.01')	army_ant
Synset('army_intelligence.n.01')	Army_Intelligence
Synset('army_national_guard.n.01')	Army_National_Guard
Synset('armyworm.n.01')	armyworm
Synset('armyworm.n.02')	armyworm
Synset('arnica.n.01')	arnica
Synset('arnica.n.02')	arnica
Synset('arnoseris.n.01')	Arnoseris
Synset('arrow_wood.n.01')	arrow_wood
Synset('arrow_wood.n.02')	arrow_wood
Synset('arrow.n.01')	arrow
Synset('arrow.n.02')	arrow
Synset('arrowworm.n.01')	arrowworm
Synset('arsenic.n.02')	arsenic
Synset('artamus.n.01')	Artamus
Synset('artemia.n.01')	Artemia
Synset('artichoke.n.01')	artichoke
Synset('artichoke.n.02')	artichoke
Synset('artillery.n.01')	artillery
Synset('artwork.n.01')	artwork
Synset('arum.n.01')	arum
Synset('arundo.n.01')	Arundo
Synset('arvicola.n.01')	Arvicola
Synset('asarh.n.01')	Asarh
Synset('asarum.n.01')	Asarum
Synset('asbestos.n.01')	asbestos
Synset('ascaphus.n.01')	Ascaphus
Synset('ascaridae.n.01')	Ascaridae
Synset('ascaridia.n.01')	Ascaridia
Synset('ascaris.n.01')	Ascaris
Synset('ascomycetes.n.01')	Ascomycetes
Synset('ascus.n.01')	ascus
Synset('ash-key.n.01')	ash-key
Synset('ash.n.02')	ash
Synset('ash.n.03')	ash
Synset('asiatic_black_bear.n.01')	Asiatic_black_bear
Synset('asilidae.n.01')	Asilidae
Synset('asimina.n.01')	Asimina
Synset('asin.n.01')	Asin
Synset('asio.n.01')	Asio
Synset('asl.n.01')	ASL
Synset('asp.n.01')	asp
Synset('asp.n.02')	asp
Synset('asparagus.n.02')	asparagus
Synset('aspen.n.01')	aspen
Synset('asper.n.01')	asper
Synset('aspergill.n.01')	aspergill
Synset('asphodel.n.01')	asphodel
Synset('asphyxia.n.01')	asphyxia
Synset('aspidistra.n.01')	aspidistra
Synset('aspirin.n.01')	aspirin
Synset('ass.n.03')	ass
Synset('assassin_bug.n.01')	assassin_bug
Synset('assault.n.01')	assault
Synset('association_of_southeast_asian_nations.n.01')	Association_of_Southeast_Asian_Nations
Synset('assumption.n.04')	Assumption
Synset('astacidae.n.01')	Astacidae
Synset('astacus.n.01')	Astacus
Synset('asteridae.n.01')	Asteridae
Synset('asterism.n.02')	asterism
Synset('asthma.n.01')	asthma
Synset('astilbe.n.01')	astilbe
Synset('astragalus.n.01')	Astragalus
Synset('astrantia.n.01')	astrantia
Synset('astroloma.n.01')	Astroloma
Synset('astronium.n.01')	Astronium
Synset('asynclitism.n.01')	asynclitism
Synset('at.n.02')	at
Synset('ataxia.n.01')	ataxia
Synset('ateles.n.01')	Ateles
Synset('athene.n.02')	Athene
Synset('athenian.n.01')	Athenian
Synset('atherurus.n.01')	Atherurus
Synset('athyrium.n.01')	Athyrium
Synset('atlantic_salmon.n.02')	Atlantic_salmon
Synset('atlas.n.02')	atlas
Synset('atmosphere.n.03')	atmosphere
Synset('atmosphere.n.05')	atmosphere
Synset('atom_bomb.n.01')	atom_bomb
Synset('atom.n.01')	atom
Synset('atomic_energy_commission.n.01')	Atomic_Energy_Commission
Synset('atomic_theory.n.01')	atomic_theory
Synset('atomic_warhead.n.01')	atomic_warhead
Synset('atropa.n.01')	Atropa
Synset('attache.n.01')	attache
Synset('attalea.n.01')	Attalea
Synset('attar.n.01')	attar
Synset('attention_deficit_disorder.n.01')	attention_deficit_disorder
Synset('attic.n.04')	attic
Synset('atticus.n.01')	Atticus
Synset('attorney_general.n.03')	Attorney_General
Synset('audience.n.01')	audience
Synset('audience.n.02')	audience
Synset('audio_system.n.01')	audio_system
Synset('audio.n.04')	audio
Synset('audited_account.n.01')	audited_account
Synset('auditory_meatus.n.01')	auditory_meatus
Synset('august.n.01')	August
Synset('auk.n.01')	auk
Synset('aureole.n.01')	aureole
Synset('auricle.n.01')	auricle
Synset('auricle.n.02')	auricle
Synset('auricula.n.02')	auricula
Synset('auriparus.n.01')	Auriparus
Synset('aurochs.n.02')	aurochs
Synset('aurora.n.02')	aurora
Synset('austral.n.01')	austral
Synset('australian_arowana.n.01')	Australian_arowana
Synset('australian_grass_tree.n.02')	Australian_grass_tree
Synset('australian_turtledove.n.01')	Australian_turtledove
Synset('australian.n.01')	Australian
Synset('austrian.n.01')	Austrian
Synset('austronesian.n.01')	Austronesian
Synset('automeris.n.01')	Automeris
Synset('automobile_horn.n.01')	automobile_horn
Synset('autonomic_nervous_system.n.01')	autonomic_nervous_system
Synset('autumn_crocus.n.01')	autumn_crocus
Synset('avadavat.n.01')	avadavat
Synset('avahi.n.01')	Avahi
Synset('avena.n.01')	Avena
Synset('avens.n.01')	avens
Synset('aves.n.01')	Aves
Synset('avo.n.01')	avo
Synset('avocado.n.01')	avocado
Synset('avocado.n.02')	avocado
Synset('avocet.n.01')	avocet
Synset('avoirdupois.n.01')	avoirdupois
Synset('awl.n.01')	awl
Synset('awlwort.n.01')	awlwort
Synset('ax_head.n.01')	ax_head
Synset('ax.n.01')	ax
Synset('axis.n.02')	axis
Synset('axis.n.05')	axis
Synset('axle.n.01')	axle
Synset('axon.n.01')	axon
Synset('axseed.n.01')	axseed
Synset('ayapana.n.01')	ayapana
Synset('aye-aye.n.01')	aye-aye
Synset('ayin.n.01')	ayin
Synset('aythya.n.01')	Aythya
Synset('azalea.n.01')	azalea
